name,brand,picture,min_price,max_price,dong_url,jia_url,dong_score,jia_score,size,type,engine,gearbox
瑞驰新能源EC31,瑞驰新能源,,10.98,11.18,,https://www.autohome.com.cn/5004/#pvareaid=6834146,,,微卡,,82马力,
瑞驰新能源EK01S,瑞驰新能源,,9.08,9.28,,https://www.autohome.com.cn/6274/#pvareaid=6834146,,,微卡,,61马力,
SWM斯威G01,SWM斯威汽车,,7.99,12.59,,https://www.autohome.com.cn/4684/#pvareaid=6834146,,4.57,紧凑型SUV,SUV,1.5T 2.0L,手自一体 手动
SWM斯威X3,SWM斯威汽车,,5.50,6.69,,https://www.autohome.com.cn/4336/#pvareaid=6834146,,4.54,紧凑型SUV,SUV,1.5L,手动
钢铁侠,SWM斯威汽车,,9.59,12.59,,https://www.autohome.com.cn/6127/#pvareaid=6834146,,4.54,紧凑型SUV,SUV,1.5T,手动 手自一体
SWM斯威G05,SWM斯威汽车,,6.99,11.99,,https://www.autohome.com.cn/5101/#pvareaid=6834146,,4.52,中型SUV,SUV,1.5T 2.0L,手自一体 手动
SWM斯威X7,SWM斯威汽车,,6.39,10.59,,https://www.autohome.com.cn/4151/#pvareaid=6834146,,4.32,中型SUV,SUV,1.5T 2.0L,手动 手自一体
SWM斯威X2,SWM斯威汽车,,4.99,5.29,,https://www.autohome.com.cn/5098/#pvareaid=6834146,,4.54,紧凑型MPV,MPV,1.5L,手动
劲炫ASX,三菱,,9.98,13.98,,https://www.autohome.com.cn/2768/#pvareaid=6834146,,4.55,紧凑型SUV,SUV,1.6L 2.0L,无级 手动
欧蓝德,三菱,,15.98,22.58,,https://www.autohome.com.cn/4147/#pvareaid=6834146,,4.55,紧凑型SUV,SUV,2.0L 2.4L,无级
奕歌,三菱,,12.98,18.58,,https://www.autohome.com.cn/4807/#pvareaid=6834146,,4.55,紧凑型SUV,SUV,1.5T,无级 手动
上汽大通MAXUS D60,上汽大通,,9.38,16.78,,https://www.autohome.com.cn/5083/#pvareaid=6834146,,4.52,中型SUV,SUV,1.3T 1.5T,干式双离合 手动
上汽大通MAXUS EUNIQ 6,上汽大通,,15.98,23.50,,https://www.autohome.com.cn/5243/#pvareaid=6834146,,,中型SUV,,82-177马力,
上汽大通MAXUS D90 Pro,上汽大通,,17.98,27.68,,https://www.autohome.com.cn/5727/#pvareaid=6834146,,4.57,中大型SUV,SUV,2.0T,手自一体
